Blues-Word	Blues-Count	Blues-Proportion	Country-Word	Country-Count	Country-Proportion	Electronic-Word	Electronic-Count	Electronic-Proportion	Folk-Word	Folk-Count	Folk-Proportion	International-Word	International-Count	International-Proportion	Jazz-Word	Jazz-Count	Jazz-Proportion	Latin-Word	Latin-Count	Latin-Proportion	Pop_Rock-Word	Pop_Rock-Count	Pop_Rock-Proportion	Rap-Word	Rap-Count	Rap-Proportion	Reggae-Word	Reggae-Count	Reggae-Proportion	RnB-Word	RnB-Count	RnB-Proportion
																					taken	5	0,019%	sinc	2	0,031%						
																					tast	5	0,019%	skip	2	0,031%						
																					te	5	0,019%	sleep	2	0,031%						
																					those	5	0,019%	slick	2	0,031%						
																					though	5	0,019%	slow	2	0,031%						
																					till	5	0,019%	smack	2	0,031%						
																					tire	5	0,019%	small	2	0,031%						
																					toujour	5	0,019%	soft	2	0,031%						
																					tv	5	0,019%	soll	2	0,031%						
																					underneath	5	0,019%	song	2	0,031%						
																					velvet	5	0,019%	spirit	2	0,031%						
																					weight	5	0,019%	spit	2	0,031%						
																					wind	5	0,019%	starv	2	0,031%						
																					wing	5	0,019%	straight	2	0,031%						
																					yesterday	5	0,019%	street	2	0,031%						
																					aliv	4	0,015%	suck	2	0,031%						
																					attent	4	0,015%	sucker	2	0,031%						
																					auf	4	0,015%	takin	2	0,031%						
																					awak	4	0,015%	talk	2	0,031%						
																					battl	4	0,015%	ten	2	0,031%						
																					begun	4	0,015%	themselv	2	0,031%						
																					best	4	0,015%	touch	2	0,031%						
																					black	4	0,015%	trade	2	0,031%						
																					bodi	4	0,015%	treat	2	0,031%						
																					breez	4	0,015%	trip	2	0,031%						
																					bright	4	0,015%	tu	2	0,031%						
																					cherri	4	0,015%	under	2	0,031%						
																					choos	4	0,015%	understand	2	0,031%						
																					clear	4	0,015%	us	2	0,031%						
																					cloud	4	0,015%	veri	2	0,031%						
																					color	4	0,015%	voll	2	0,031%						
																					cool	4	0,015%	vor	2	0,031%						
																					corpor	4	0,015%	wall	2	0,031%						
																					crawl	4	0,015%	wast	2	0,031%						
																					crazi	4	0,015%	wear	2	0,031%						
																					cup	4	0,015%	weiter	2	0,031%						
																					differ	4	0,015%	went	2	0,031%						
																					dissolv	4	0,015%	whine	2	0,031%						
																					dizzi	4	0,015%	wirklich	2	0,031%						
																					dont	4	0,015%	within	2	0,031%						
																					drain	4	0,015%	wo	2	0,031%						
																					drown	4	0,015%	wonder	2	0,031%						
																					easier	4	0,015%	worri	2	0,031%						
																					except	4	0,015%	wors	2	0,031%						
																					fade	4	0,015%	written	2	0,031%						
																					father	4	0,015%	year	2	0,031%						
																					feelin	4	0,015%	yet	2	0,031%						
																					follow	4	0,015%	zurück	2	0,031%						
																					foot	4	0,015%	100	1	0,015%						
																					front	4	0,015%	3	1	0,015%						
																					funni	4	0,015%	40	1	0,015%						
																					garbag	4	0,015%	6	1	0,015%						
																					generat	4	0,015%	ab	1	0,015%						
																					grey	4	0,015%	abl	1	0,015%						
																					ground	4	0,015%	accus	1	0,015%						
																					half	4	0,015%	across	1	0,015%						
																					hang	4	0,015%	admir	1	0,015%						
																					happen	4	0,015%	afraid	1	0,015%						
																					highway	4	0,015%	after	1	0,015%						
																					hill	4	0,015%	afternoon	1	0,015%						
																					idea	4	0,015%	ago	1	0,015%						
																					ihm	4	0,015%	ai	1	0,015%						
																					illus	4	0,015%	alarm	1	0,015%						
																					im	4	0,015%	allein	1	0,015%						
																					indian	4	0,015%	along	1	0,015%						
																					instead	4	0,015%	alright	1	0,015%						
																					ir	4	0,015%	amus	1	0,015%						
																					joke	4	0,015%	anger	1	0,015%						
																					knee	4	0,015%	ani	1	0,015%						
																					ladi	4	0,015%	anyon	1	0,015%						
																					languag	4	0,015%	armi	1	0,015%						
																					las	4	0,015%	asshol	1	0,015%						
																					lock	4	0,015%	assum	1	0,015%						
																					lookin	4	0,015%	attent	1	0,015%						
																					machin	4	0,015%	automat	1	0,015%						
																					meet	4	0,015%	avoid	1	0,015%						
																					memori	4	0,015%	backward	1	0,015%						
																					microphon	4	0,015%	balanc	1	0,015%						
																					natur	4	0,015%	ball	1	0,015%						
																					noch	4	0,015%	barrel	1	0,015%						
																					oughta	4	0,015%	bastard	1	0,015%						
																					overcom	4	0,015%	bath	1	0,015%						
																					paint	4	0,015%	bathroom	1	0,015%						
																					part	4	0,015%	beg	1	0,015%						
																					photo	4	0,015%	began	1	0,015%						
																					pretti	4	0,015%	begin	1	0,015%						
																					problem	4	0,015%	bei	1	0,015%						
																					question	4	0,015%	bell	1	0,015%						
																					rather	4	0,015%	besser	1	0,015%						
																					real	4	0,015%	bill	1	0,015%						
																					relat	4	0,015%	billi	1	0,015%						
																					resist	4	0,015%	blank	1	0,015%						
																					safe	4	0,015%	blaze	1	0,015%						
																					sag	4	0,015%	blow	1	0,015%						
																					satisfi	4	0,015%	blown	1	0,015%						
																					second	4	0,015%	blue	1	0,015%						
																					secret	4	0,015%	boat	1	0,015%						
																					sie	4	0,015%	boom	1	0,015%						
																					silenc	4	0,015%	boss	1	0,015%						
																					sink	4	0,015%	both	1	0,015%						
																					small	4	0,015%	bottl	1	0,015%						
																					smooth	4	0,015%	bought	1	0,015%						
																					somehow	4	0,015%	bound	1	0,015%						
																					spell	4	0,015%	bout	1	0,015%						
																					straight	4	0,015%	box	1	0,015%						
																					strong	4	0,015%	brain	1	0,015%						
																					suck	4	0,015%	breakin	1	0,015%						
																					summer	4	0,015%	broke	1	0,015%						
																					sur	4	0,015%	brown	1	0,015%						
																					tabl	4	0,015%	buck	1	0,015%						
																					talkin	4	0,015%	bug	1	0,015%						
																					tango	4	0,015%	bullet	1	0,015%						
																					televis	4	0,015%	burst	1	0,015%						
																					thin	4	0,015%	candl	1	0,015%						
																					trembl	4	0,015%	captur	1	0,015%						
																					tu	4	0,015%	card	1	0,015%						
																					twist	4	0,015%	castl	1	0,015%						
																					von	4	0,015%	cell	1	0,015%						
																					water	4	0,015%	chain	1	0,015%						
																					welt	4	0,015%	challeng	1	0,015%						
																					whatev	4	0,015%	chang	1	0,015%						
																					window	4	0,015%	charm	1	0,015%						
																					1	3	0,012%	chart	1	0,015%						
																					abl	3	0,012%	chees	1	0,015%						
																					act	3	0,012%	chew	1	0,015%						
																					al	3	0,012%	chi	1	0,015%						
																					ala	3	0,012%	chill	1	0,015%						
																					almost	3	0,012%	chip	1	0,015%						
																					although	3	0,012%	chrome	1	0,015%						
																					ani	3	0,012%	church	1	0,015%						
																					aqui	3	0,012%	circl	1	0,015%						
																					arrow	3	0,012%	class	1	0,015%						
																					ash	3	0,012%	clip	1	0,015%						
																					asham	3	0,012%	coat	1	0,015%						
																					auch	3	0,012%	coke	1	0,015%						
																					automat	3	0,012%	collaps	1	0,015%						
																					belief	3	0,012%	combin	1	0,015%						
																					bist	3	0,012%	command	1	0,015%						
																					bless	3	0,012%	comment	1	0,015%						
																					book	3	0,012%	commit	1	0,015%						
																					bother	3	0,012%	communic	1	0,015%						
																					bread	3	0,012%	compar	1	0,015%						
																					break	3	0,012%	complain	1	0,015%						
																					broke	3	0,012%	concern	1	0,015%						
																					built	3	0,012%	contact	1	0,015%						
																					bye	3	0,012%	control	1	0,015%						
																					came	3	0,012%	convers	1	0,015%						
																					camera	3	0,012%	cop	1	0,015%						
																					cancion	3	0,012%	count	1	0,015%						
																					cant	3	0,012%	coupl	1	0,015%						
																					cash	3	0,012%	crack	1	0,015%						
																					celebr	3	0,012%	cradl	1	0,015%						
																					check	3	0,012%	creat	1	0,015%						
																					choic	3	0,012%	creation	1	0,015%						
																					circl	3	0,012%	credit	1	0,015%						
																					cmon	3	0,012%	crimin	1	0,015%						
																					control	3	0,012%	cultur	1	0,015%						
																					count	3	0,012%	curious	1	0,015%						
																					cradl	3	0,012%	cuz	1	0,015%						
																					cruel	3	0,012%	d	1	0,015%						
																					dare	3	0,012%	dad	1	0,015%						
																					decad	3	0,012%	danger	1	0,015%						
																					deceiv	3	0,012%	dark	1	0,015%						
																					decid	3	0,012%	darker	1	0,015%						
																					deep	3	0,012%	dead	1	0,015%						
																					defeat	3	0,012%	deaf	1	0,015%						
																					defend	3	0,012%	deal	1	0,015%						
																					denn	3	0,012%	declar	1	0,015%						
																					dig	3	0,012%	deep	1	0,015%						
																					dirt	3	0,012%	deeper	1	0,015%						
																					disappear	3	0,012%	degre	1	0,015%						
																					doch	3	0,012%	demand	1	0,015%						
																					doctor	3	0,012%	depend	1	0,015%						
																					doin	3	0,012%	depress	1	0,015%						
																					doom	3	0,012%	des	1	0,015%						
																					drop	3	0,012%	describ	1	0,015%						
																					eat	3	0,012%	desir	1	0,015%						
																					encuentro	3	0,012%	destini	1	0,015%						
																					especi	3	0,012%	diablo	1	0,015%						
																					fail	3	0,012%	dick	1	0,015%						
																					favorit	3	0,012%	dieser	1	0,015%						
																					feat	3	0,012%	dimens	1	0,015%						
																					feed	3	0,012%	ding	1	0,015%						
																					femm	3	0,012%	dinner	1	0,015%						
																					few	3	0,012%	dip	1	0,015%						
																					fiction	3	0,012%	dirti	1	0,015%						
																					fill	3	0,012%	dish	1	0,015%						
																					five	3	0,012%	diss	1	0,015%						
																					fix	3	0,012%	dollar	1	0,015%						
																					forc	3	0,012%	dom	1	0,015%						
																					forward	3	0,012%	dont	1	0,015%						
																					full	3	0,012%	dope	1	0,015%						
																					gin	3	0,012%	doubl	1	0,015%						
																					glass	3	0,012%	dr	1	0,015%						
																					graviti	3	0,012%	dragon	1	0,015%						
																					greet	3	0,012%	drive	1	0,015%						
																					heat	3	0,012%	drivin	1	0,015%						
																					held	3	0,012%	drum	1	0,015%						
																					hier	3	0,012%	dude	1	0,015%						
																					hour	3	0,012%	dumb	1	0,015%						
																					human	3	0,012%	dwell	1	0,015%						
																					ignor	3	0,012%	dynamit	1	0,015%						
																					il	3	0,012%	e	1	0,015%						
																					impress	3	0,012%	each	1	0,015%						
																					inner	3	0,012%	eager	1	0,015%						
																					kann	3	0,012%	ear	1	0,015%						
																					key	3	0,012%	earli	1	0,015%						
																					kopf	3	0,012%	earth	1	0,015%						
																					lang	3	0,012%	easi	1	0,015%						
																					leader	3	0,012%	easier	1	0,015%						
																					leavin	3	0,012%	east	1	0,015%						
																					lieb	3	0,012%	educ	1	0,015%						
																					lyin	3	0,012%	effect	1	0,015%						
																					manipul	3	0,012%	einmal	1	0,015%						
																					mata	3	0,012%	endlich	1	0,015%						
																					medicin	3	0,012%	enemi	1	0,015%						
																					meinem	3	0,012%	engin	1	0,015%						
																					messag	3	0,012%	enough	1	0,015%						
																					modern	3	0,012%	entertain	1	0,015%						
																					month	3	0,012%	eras	1	0,015%						
																					mornin	3	0,012%	etwa	1	0,015%						
																					news	3	0,012%	everybodi	1	0,015%						
																					niemal	3	0,012%	everyday	1	0,015%						
																					nous	3	0,012%	everytim	1	0,015%						
																					ob	3	0,012%	evid	1	0,015%						
																					oder	3	0,012%	exact	1	0,015%						
																					ok	3	0,012%	except	1	0,015%						
																					ou	3	0,012%	experi	1	0,015%						
																					ought	3	0,012%	ey	1	0,015%						
																					palabra	3	0,012%	fade	1	0,015%						
																					parad	3	0,012%	fairi	1	0,015%						
																					paradis	3	0,012%	fake	1	0,015%						
																					pass	3	0,012%	famili	1	0,015%						
																					pay	3	0,012%	fan	1	0,015%						
																					pile	3	0,012%	far	1	0,015%						
																					press	3	0,012%	fast	1	0,015%						
																					program	3	0,012%	fatal	1	0,015%						
																					pull	3	0,012%	feed	1	0,015%						
																					quit	3	0,012%	feelin	1	0,015%						
																					razor	3	0,012%	feet	1	0,015%						
																					read	3	0,012%	felt	1	0,015%						
																					realiti	3	0,012%	fenc	1	0,015%						
																					rearrang	3	0,012%	fever	1	0,015%						
																					red	3	0,012%	few	1	0,015%						
																					remind	3	0,012%	fifteen	1	0,015%						
																					repeat	3	0,012%	fight	1	0,015%						
																					return	3	0,012%	fighter	1	0,015%						
																					routin	3	0,012%	figur	1	0,015%						
																					sabe	3	0,012%	fill	1	0,015%						
																					salt	3	0,012%	fine	1	0,015%						
																					san	3	0,012%	fire	1	0,015%						
																					scare	3	0,012%	flash	1	0,015%						
																					school	3	0,012%	font	1	0,015%						
																					sea	3	0,012%	foot	1	0,015%						
																					seguir	3	0,012%	fore	1	0,015%						
																					send	3	0,012%	forev	1	0,015%						
																					sentir	3	0,012%	forgiv	1	0,015%						
																					separ	3	0,012%	form	1	0,015%						
																					share	3	0,012%	forti	1	0,015%						
																					shown	3	0,012%	foul	1	0,015%						
																					sich	3	0,012%	frame	1	0,015%						
																					sigh	3	0,012%	free	1	0,015%						
																					sight	3	0,012%	fresh	1	0,015%						
																					sign	3	0,012%	friend	1	0,015%						
																					simpl	3	0,012%	funer	1	0,015%						
																					slowli	3	0,012%	futur	1	0,015%						
																					smoke	3	0,012%	game	1	0,015%						
																					soft	3	0,012%	gangsta	1	0,015%						
																					solut	3	0,012%	gave	1	0,015%						
																					someday	3	0,012%	gay	1	0,015%						
																					sorri	3	0,012%	gehn	1	0,015%						
																					speak	3	0,012%	generat	1	0,015%						
																					spread	3	0,012%	gentl	1	0,015%						
																					stack	3	0,012%	gib	1	0,015%						
																					stage	3	0,012%	gimm	1	0,015%						
																					stroke	3	0,012%	girlfriend	1	0,015%						
																					sudden	3	0,012%	golden	1	0,015%						
																					swore	3	0,012%	grace	1	0,015%						
																					ten	3	0,012%	grind	1	0,015%						
																					terr	3	0,012%	grow	1	0,015%						
																					terror	3	0,012%	grown	1	0,015%						
																					thank	3	0,012%	guard	1	0,015%						
																					three	3	0,012%	guess	1	0,015%						
																					tide	3	0,012%	haben	1	0,015%						
																					troubl	3	0,012%	hail	1	0,015%						
																					tryin	3	0,012%	half	1	0,015%						
																					un	3	0,012%	hang	1	0,015%						
																					une	3	0,012%	happi	1	0,015%						
																					upsid	3	0,012%	harm	1	0,015%						
																					ventana	3	0,012%	hat	1	0,015%						
																					veri	3	0,012%	heal	1	0,015%						
																					victim	3	0,012%	heart	1	0,015%						
																					view	3	0,012%	heaven	1	0,015%						
																					vision	3	0,012%	held	1	0,015%						
																					warum	3	0,012%	hell	1	0,015%						
																					wash	3	0,012%	hello	1	0,015%						
																					watchin	3	0,012%	help	1	0,015%						
																					wear	3	0,012%	hide	1	0,015%						
																					weep	3	0,012%	hin	1	0,015%						
																					weiß	3	0,012%	hiphop	1	0,015%						
																					wird	3	0,012%	honor	1	0,015%						
																					wound	3	0,012%	hood	1	0,015%						
																					wrap	3	0,012%	hop	1	0,015%						
																					written	3	0,012%	hour	1	0,015%						
																					young	3	0,012%	huh	1	0,015%						
																					you’r	3	0,012%	hundr	1	0,015%						
																					zu	3	0,012%	hung	1	0,015%						
																					5	2	0,008%	hungri	1	0,015%						
																					abov	2	0,008%	hör	1	0,015%						
																					ach	2	0,008%	ice	1	0,015%						
																					ador	2	0,008%	ici	1	0,015%						
																					against	2	0,008%	illus	1	0,015%						
																					ago	2	0,008%	imagin	1	0,015%						
																					ahora	2	0,008%	import	1	0,015%						
																					aim	2	0,008%	inch	1	0,015%						
																					among	2	0,008%	infect	1	0,015%						
																					ander	2	0,008%	inspir	1	0,015%						
																					anytim	2	0,008%	instead	1	0,015%						
																					art	2	0,008%	intro	1	0,015%						
																					asid	2	0,008%	invent	1	0,015%						
																					attitud	2	0,008%	iron	1	0,015%						
																					awar	2	0,008%	jack	1	0,015%						
																					bare	2	0,008%	jeden	1	0,015%						
																					beer	2	0,008%	jeder	1	0,015%						
																					bell	2	0,008%	jesus	1	0,015%						
																					bend	2	0,008%	joint	1	0,015%						
																					bir	2	0,008%	juic	1	0,015%						
																					bite	2	0,008%	kalt	1	0,015%						
																					bitter	2	0,008%	keepin	1	0,015%						
																					blood	2	0,008%	keinen	1	0,015%						
																					bow	2	0,008%	kept	1	0,015%						
																					brain	2	0,008%	killin	1	0,015%						
																					brave	2	0,008%	kinda	1	0,015%						
																					build	2	0,008%	kiss	1	0,015%						
																					bullet	2	0,008%	kitchen	1	0,015%						
																					burst	2	0,008%	klein	1	0,015%						
																					buy	2	0,008%	knew	1	0,015%						
																					card	2	0,008%	lace	1	0,015%						
																					ceil	2	0,008%	lack	1	0,015%						
																					cest	2	0,008%	land	1	0,015%						
																					chair	2	0,008%	landscap	1	0,015%						
																					cheap	2	0,008%	late	1	0,015%						
																					choke	2	0,008%	latest	1	0,015%						
																					christ	2	0,008%	lean	1	0,015%						
																					clap	2	0,008%	leather	1	0,015%						
																					cloth	2	0,008%	leav	1	0,015%						
																					collect	2	0,008%	lee	1	0,015%						
																					compani	2	0,008%	left	1	0,015%						
																					complex	2	0,008%	legal	1	0,015%						
																					convers	2	0,008%	legend	1	0,015%						
																					cook	2	0,008%	less	1	0,015%						
																					cop	2	0,008%	liquor	1	0,015%						
																					countri	2	0,008%	list	1	0,015%						
																					coupl	2	0,008%	livin	1	0,015%						
																					crack	2	0,008%	load	1	0,015%						
																					crumbl	2	0,008%	lock	1	0,015%						
																					da	2	0,008%	lookin	1	0,015%						
																					dad	2	0,008%	lose	1	0,015%						
																					dann	2	0,008%	loss	1	0,015%						
																					death	2	0,008%	lot	1	0,015%						
																					decept	2	0,008%	loud	1	0,015%						
																					dem	2	0,008%	louder	1	0,015%						
																					deni	2	0,008%	lover	1	0,015%						
																					destroy	2	0,008%	lower	1	0,015%						
																					devil	2	0,008%	ma	1	0,015%						
																					dies	2	0,008%	mad	1	0,015%						
																					doubl	2	0,008%	made	1	0,015%						
																					dress	2	0,008%	main	1	0,015%						
																					dri	2	0,008%	mari	1	0,015%						
																					drift	2	0,008%	mask	1	0,015%						
																					drunk	2	0,008%	mass	1	0,015%						
																					dull	2	0,008%	match	1	0,015%						
																					dune	2	0,008%	may	1	0,015%						
																					eager	2	0,008%	meat	1	0,015%						
																					edg	2	0,008%	memori	1	0,015%						
																					egal	2	0,008%	mention	1	0,015%						
																					ein	2	0,008%	mere	1	0,015%						
																					els	2	0,008%	messag	1	0,015%						
																					emot	2	0,008%	metal	1	0,015%						
																					empir	2	0,008%	microphon	1	0,015%						
																					empti	2	0,008%	midnight	1	0,015%						
																					engin	2	0,008%	minut	1	0,015%						
																					estoy	2	0,008%	mirror	1	0,015%						
																					et	2	0,008%	miss	1	0,015%						
																					etern	2	0,008%	misunderstood	1	0,015%						
																					euch	2	0,008%	mo	1	0,015%						
																					everytim	2	0,008%	modern	1	0,015%						
																					exist	2	0,008%	mother	1	0,015%						
																					expect	2	0,008%	motion	1	0,015%						
																					explain	2	0,008%	much	1	0,015%						
																					fact	2	0,008%	mud	1	0,015%						
																					fantasi	2	0,008%	muscl	1	0,015%						
																					farm	2	0,008%	muss	1	0,015%						
																					fate	2	0,008%	n	1	0,015%						
																					fil	2	0,008%	na	1	0,015%						
																					first	2	0,008%	near	1	0,015%						
																					flame	2	0,008%	nen	1	0,015%						
																					flower	2	0,008%	nervous	1	0,015%						
																					forest	2	0,008%	news	1	0,015%						
																					further	2	0,008%	nor	1	0,015%						
																					futur	2	0,008%	nose	1	0,015%						
																					geht	2	0,008%	nothin	1	0,015%						
																					geld	2	0,008%	notic	1	0,015%						
																					gettin	2	0,008%	ocean	1	0,015%						
																					glanc	2	0,008%	often	1	0,015%						
																					goal	2	0,008%	older	1	0,015%						
																					gon	2	0,008%	onc	1	0,015%						
																					grave	2	0,008%	open	1	0,015%						
																					gut	2	0,008%	opinion	1	0,015%						
																					hair	2	0,008%	orang	1	0,015%						
																					harder	2	0,008%	origin	1	0,015%						
																					hasta	2	0,008%	owe	1	0,015%						
																					height	2	0,008%	pace	1	0,015%						
																					hello	2	0,008%	pack	1	0,015%						
																					hesit	2	0,008%	pain	1	0,015%						
																					hip	2	0,008%	paper	1	0,015%						
																					histoir	2	0,008%	pathet	1	0,015%						
																					hole	2	0,008%	patienc	1	0,015%						
																					holi	2	0,008%	pattern	1	0,015%						
																					horror	2	0,008%	pay	1	0,015%						
																					hors	2	0,008%	penetr	1	0,015%						
																					hous	2	0,008%	person	1	0,015%						
																					hundr	2	0,008%	phantom	1	0,015%						
																					hung	2	0,008%	phone	1	0,015%						
																					idol	2	0,008%	physic	1	0,015%						
																					imagin	2	0,008%	piec	1	0,015%						
																					impos	2	0,008%	pimp	1	0,015%						
																					infinit	2	0,008%	pistol	1	0,015%						
																					insan	2	0,008%	planet	1	0,015%						
																					insist	2	0,008%	plant	1	0,015%						
																					jerk	2	0,008%	playin	1	0,015%						
																					john	2	0,008%	pleas	1	0,015%						
																					joy	2	0,008%	plus	1	0,015%						
																					keiner	2	0,008%	pocket	1	0,015%						
																					kick	2	0,008%	point	1	0,015%						
																					kinda	2	0,008%	polic	1	0,015%						
																					king	2	0,008%	post	1	0,015%						
																					kingdom	2	0,008%	pour	1	0,015%						
																					lamp	2	0,008%	practic	1	0,015%						
																					lean	2	0,008%	preach	1	0,015%						
																					least	2	0,008%	prefer	1	0,015%						
																					leg	2	0,008%	presenc	1	0,015%						
																					legion	2	0,008%	present	1	0,015%						
																					lo	2	0,008%	print	1	0,015%						
																					lot	2	0,008%	probabl	1	0,015%						
																					lyric	2	0,008%	problem	1	0,015%						
																					mad	2	0,008%	process	1	0,015%						
																					magazin	2	0,008%	proof	1	0,015%						
																					makin	2	0,008%	prove	1	0,015%						
																					mark	2	0,008%	public	1	0,015%						
																					mehr	2	0,008%	pump	1	0,015%						
																					mein	2	0,008%	purpl	1	0,015%						
																					melt	2	0,008%	purpos	1	0,015%						
																					menschen	2	0,008%	push	1	0,015%						
																					merri	2	0,008%	pussi	1	0,015%						
																					mich	2	0,008%	quarter	1	0,015%						
																					midnight	2	0,008%	quit	1	0,015%						
																					minut	2	0,008%	radio	1	0,015%						
																					mist	2	0,008%	raus	1	0,015%						
																					mit	2	0,008%	raw	1	0,015%						
																					mmm	2	0,008%	re	1	0,015%						
																					mom	2	0,008%	readi	1	0,015%						
																					most	2	0,008%	realiz	1	0,015%						
																					mountain	2	0,008%	realm	1	0,015%						
																					même	2	0,008%	rebel	1	0,015%						
																					nacht	2	0,008%	recal	1	0,015%						
																					near	2	0,008%	receiv	1	0,015%						
																					neck	2	0,008%	reel	1	0,015%						
																					neighbor	2	0,008%	regga	1	0,015%						
																					neon	2	0,008%	releas	1	0,015%						
																					ni	2	0,008%	repeat	1	0,015%						
																					nothin	2	0,008%	rip	1	0,015%						
																					ocean	2	0,008%	rockin	1	0,015%						
																					often	2	0,008%	roll	1	0,015%						
																					onto	2	0,008%	roof	1	0,015%						
																					paid	2	0,008%	room	1	0,015%						
																					pant	2	0,008%	rope	1	0,015%						
																					pasa	2	0,008%	row	1	0,015%						
																					path	2	0,008%	rubber	1	0,015%						
																					paz	2	0,008%	ruin	1	0,015%						
																					peep	2	0,008%	rum	1	0,015%						
																					penni	2	0,008%	rush	1	0,015%						
																					perform	2	0,008%	rust	1	0,015%						
																					person	2	0,008%	sack	1	0,015%						
																					pi	2	0,008%	safe	1	0,015%						
																					pill	2	0,008%	safeti	1	0,015%						
																					pillow	2	0,008%	scar	1	0,015%						
																					possibl	2	0,008%	scare	1	0,015%						
																					power	2	0,008%	scent	1	0,015%						
																					pray	2	0,008%	scheme	1	0,015%						
																					prayer	2	0,008%	schön	1	0,015%						
																					preach	2	0,008%	scrape	1	0,015%						
																					price	2	0,008%	scratch	1	0,015%						
																					protect	2	0,008%	screamin	1	0,015%						
																					qui	2	0,008%	second	1	0,015%						
																					quier	2	0,008%	seek	1	0,015%						
																					radio	2	0,008%	seel	1	0,015%						
																					ran	2	0,008%	seen	1	0,015%						
																					rattl	2	0,008%	sehn	1	0,015%						
																					realiz	2	0,008%	sein	1	0,015%						
																					rein	2	0,008%	selfish	1	0,015%						
																					rescu	2	0,008%	sens	1	0,015%						
																					rider	2	0,008%	sensat	1	0,015%						
																					rollin	2	0,008%	separ	1	0,015%						
																					romanc	2	0,008%	serious	1	0,015%						
																					rule	2	0,008%	settl	1	0,015%						
																					runnin	2	0,008%	sever	1	0,015%						
																					sake	2	0,008%	sex	1	0,015%						
																					savior	2	0,008%	sexi	1	0,015%						
																					sayin	2	0,008%	shadow	1	0,015%						
																					scene	2	0,008%	shakin	1	0,015%						
																					sen	2	0,008%	sharp	1	0,015%						
																					sens	2	0,008%	shi	1	0,015%						
																					sexi	2	0,008%	ship	1	0,015%						
																					shame	2	0,008%	shock	1	0,015%						
																					shape	2	0,008%	shove	1	0,015%						
																					shi	2	0,008%	sicken	1	0,015%						
																					shoot	2	0,008%	silenc	1	0,015%						
																					si	2	0,008%	silhouett	1	0,015%						
																					silver	2	0,008%	singin	1	0,015%						
																					simpli	2	0,008%	sink	1	0,015%						
																					sind	2	0,008%	sip	1	0,015%						
																					siren	2	0,008%	sister	1	0,015%						
																					slave	2	0,008%	situat	1	0,015%						
																					slip	2	0,008%	six	1	0,015%						
																					slow	2	0,008%	sixteen	1	0,015%						
																					smash	2	0,008%	skill	1	0,015%						
																					snow	2	0,008%	slap	1	0,015%						
																					solo	2	0,008%	slay	1	0,015%						
																					somethin	2	0,008%	smokin	1	0,015%						
																					sour	2	0,008%	sneak	1	0,015%						
																					space	2	0,008%	social	1	0,015%						
																					speed	2	0,008%	sock	1	0,015%						
																					spoke	2	0,008%	somebodi	1	0,015%						
																					spring	2	0,008%	somethin	1	0,015%						
																					stair	2	0,008%	soon	1	0,015%						
																					standin	2	0,008%	soul	1	0,015%						
																					stick	2	0,008%	sound	1	0,015%						
																					stood	2	0,008%	sour	1	0,015%						
																					string	2	0,008%	south	1	0,015%						
																					stumbl	2	0,008%	spend	1	0,015%						
																					stupid	2	0,008%	spin	1	0,015%						
																					subject	2	0,008%	spring	1	0,015%						
																					sueño	2	0,008%	squar	1	0,015%						
																					suit	2	0,008%	stage	1	0,015%						
																					sunset	2	0,008%	state	1	0,015%						
																					sunshin	2	0,008%	steal	1	0,015%						
																					surfac	2	0,008%	steel	1	0,015%						
																					surpris	2	0,008%	stink	1	0,015%						
																					swear	2	0,008%	stone	1	0,015%						
																					sweetest	2	0,008%	store	1	0,015%						
																					tale	2	0,008%	stranger	1	0,015%						
																					tanta	2	0,008%	strike	1	0,015%						
																					target	2	0,008%	string	1	0,015%						
																					taught	2	0,008%	strong	1	0,015%						
																					teas	2	0,008%	struggl	1	0,015%						
																					teeth	2	0,008%	stuck	1	0,015%						
																					telephon	2	0,008%	stumbl	1	0,015%						
																					temp	2	0,008%	success	1	0,015%						
																					thousand	2	0,008%	suffer	1	0,015%						
																					thrown	2	0,008%	suit	1	0,015%						
																					ti	2	0,008%	super	1	0,015%						
																					tight	2	0,008%	suppos	1	0,015%						
																					tooth	2	0,008%	swear	1	0,015%						
																					tough	2	0,008%	sweat	1	0,015%						
																					traffic	2	0,008%	swim	1	0,015%						
																					trash	2	0,008%	symphoni	1	0,015%						
																					tree	2	0,008%	system	1	0,015%						
																					turnin	2	0,008%	t	1	0,015%						
																					tus	2	0,008%	tag	1	0,015%						
																					um	2	0,008%	talkin	1	0,015%						
																					unawar	2	0,008%	taught	1	0,015%						
																					unkind	2	0,008%	teach	1	0,015%						
																					untru	2	0,008%	tear	1	0,015%						
																					vain	2	0,008%	teen	1	0,015%						
																					viel	2	0,008%	televis	1	0,015%						
																					voodoo	2	0,008%	tellin	1	0,015%						
																					wail	2	0,008%	texa	1	0,015%						
																					walkin	2	0,008%	tha	1	0,015%						
																					weak	2	0,008%	their	1	0,015%						
																					weekend	2	0,008%	thirti	1	0,015%						
																					whiskey	2	0,008%	those	1	0,015%						
																					whistl	2	0,008%	ticket	1	0,015%						
																					willow	2	0,008%	tie	1	0,015%						
																					woke	2	0,008%	tight	1	0,015%						
																					won’t	2	0,008%	till	1	0,015%						
																					wood	2	0,008%	togeth	1	0,015%						
																					workin	2	0,008%	toll	1	0,015%						
																					wrote	2	0,008%	toy	1	0,015%						
